id;title;company;link
job-item-7780851;"Referentin / Referent (w/m/d) für den Bereich ""Business Intelligence und Data Analytics""";Informationstechnikzentrum Bund (ITZBund);stepstone.de/stellenangebote--Referentin-Referent-w-m-d-fuer-den-Bereich-Business-Intelligence-und-Data-Analytics-Berlin-Hamburg-Ilmenau-Informationstechnikzentrum-Bund-ITZBund--7780851-inline.html
job-item-7771737;Data Analyst / BI Developer (w/m/d);Daimler Group Services Berlin GmbH;stepstone.de/stellenangebote--Data-Analyst-BI-Developer-w-m-d-Berlin-Daimler-Group-Services-Berlin-GmbH--7771737-inline.html
job-item-7722272;Developer BI & Data Warehouse (m/w/d);Heinze GmbH;stepstone.de/stellenangebote--Developer-BI-Data-Warehouse-m-w-d-Celle-Berlin-Muenchen-Heinze-GmbH--7722272-inline.html
job-item-7193281;Leitender Entwickler/ Lead Developer BI & Data Warehouse Automotive (m/w/d);Sopra Steria;stepstone.de/stellenangebote--Leitender-Entwickler-Lead-Developer-BI-Data-Warehouse-Automotive-m-w-d-Alle-Standorte-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--7193281-inline.html
job-item-7718843;Conceptual Data Architect & Designer (m/w/d);Deutsche Kreditbank AG (DKB);stepstone.de/stellenangebote--Conceptual-Data-Architect-Designer-m-w-d-Berlin-Deutsche-Kreditbank-AG-DKB--7718843-inline.html
job-item-7580277;Data Engineer (m/w/d) Schwerpunkt Snowflake;INFOMOTION GmbH;stepstone.de/stellenangebote--Data-Engineer-m-w-d-Schwerpunkt-Snowflake-Frankfurt-Koeln-Hamburg-Muenchen-Stuttgart-Heilbronn-Saarbruecken-Berlin-INFOMOTION-GmbH--7580277-inline.html
job-item-7553644;Consultant (m/w/d) Data Analytics;mgm consulting partners GmbH;stepstone.de/stellenangebote--Consultant-m-w-d-Data-Analytics-Berlin-Hamburg-Koeln-Leipzig-Muenchen-Nord-mgm-consulting-partners-GmbH--7553644-inline.html
job-item-6665322;Data Enabler (f/m/d);PwC;stepstone.de/stellenangebote--Data-Enabler-f-m-d-Berlin-Duesseldorf-Frankfurt-a-M-Hamburg-Hannover-Muenchen-PwC--6665322-inline.html
job-item-7519127;(Senior) Consultant Projektmanagement Data Science - EY etventure Voll- und Teilzeit (w/m/d);Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;stepstone.de/stellenangebote--Senior-Consultant-Projektmanagement-Data-Science-EY-etventure-Voll-und-Teilzeit-w-m-d-Berlin-Muenchen-Ernst-Young-GmbH-Wirtschaftspruefungsgesellschaft--7519127-inline.html
job-item-7710561;Consultant (m/w/d) Marketing Data Engineer;Presented by meinestadt.de;stepstone.de/stellenangebote--Consultant-m-w-d-Marketing-Data-Engineer-Berlin-Presented-by-meinestadt-de--7710561-inline.html
job-item-7754002;Data Engineer (m/f/d);Invincible Brands GmbH;stepstone.de/stellenangebote--Data-Engineer-m-f-d-Berlin-Invincible-Brands-GmbH--7754002-inline.html
job-item-7630782;Senior Consultant (m/w/d) Risk Advisory - Data Science & Analytics;Deloitte;stepstone.de/stellenangebote--Senior-Consultant-m-w-d-Risk-Advisory-Data-Science-Analytics-Berlin-Hamburg-Leipzig-Muenchen-Deloitte--7630782-inline.html
job-item-7695342;Duales Studium B.Sc. Wirtschaftsinformatik - Data Science - Start WS 22/23;Sopra Steria;stepstone.de/stellenangebote--Duales-Studium-B-Sc-Wirtschaftsinformatik-Data-Science-Start-WS-22-23-bundesweit-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--7695342-inline.html
job-item-7697600;(Senior) Associate HR Data & Analytics im Bereich Transformation & Restructuring Teilzeit/Vollzeit (w/m/d);PwC;stepstone.de/stellenangebote--Senior-Associate-HR-Data-Analytics-im-Bereich-Transformation-Restructuring-Teilzeit-Vollzeit-w-m-d-Berlin-Duesseldorf-Frankfurt-a-M-Hamburg-Muenchen-Stuttgart-PwC--7697600-inline.html
job-item-7718908;(Senior) Consultant Data Warehouse (m/w/d);Syncwork AG;stepstone.de/stellenangebote--Senior-Consultant-Data-Warehouse-m-w-d-Berlin-Syncwork-AG--7718908-inline.html
job-item-7626567;Analyst (m/w/d) Data Analytics;BearingPoint GmbH;stepstone.de/stellenangebote--Analyst-m-w-d-Data-Analytics-Berlin-Duesseldorf-Frankfurt-Muenchen-Hamburg-Stuttgart-BearingPoint-GmbH--7626567-inline.html
job-item-7754254;IT Data Scientist (m/w/d);Evangelisches Diakonissenhaus Berlin Teltow Lehnin;stepstone.de/stellenangebote--IT-Data-Scientist-m-w-d-Teltow-Evangelisches-Diakonissenhaus-Berlin-Teltow-Lehnin--7754254-inline.html
job-item-7701293;Data Engineer (m/w/d);Würth Elektronik eiSos GmbH & Co. KG;stepstone.de/stellenangebote--Data-Engineer-m-w-d-Muenchen-Berlin-Waldenburg-Wuerth-Elektronik-eiSos-GmbH-Co-KG--7701293-inline.html
job-item-7751553;SEO Data Analyst (m/f/d);Springer-Verlag GmbH;stepstone.de/stellenangebote--SEO-Data-Analyst-m-f-d-London-Berlin-Heidelberg-New-Delhi-Pune-Springer-Verlag-GmbH--7751553-inline.html
job-item-7715856;Senior Manager - Process Automation/Master Data Lead (m/w/d) - Life Science Quality Management;Deloitte;stepstone.de/stellenangebote--Senior-Manager-Process-Automation-Master-Data-Lead-m-w-d-Life-Science-Quality-Management-Duesseldorf-Berlin-Frankfurt-Main-Koeln-Muenchen-Deloitte--7715856-inline.html
job-item-7718840;Business & Data Analyst (m/w/d);Deutsche Kreditbank AG (DKB);stepstone.de/stellenangebote--Business-Data-Analyst-m-w-d-Berlin-Deutsche-Kreditbank-AG-DKB--7718840-inline.html
job-item-7753150;Data Scientist (m/f/d);Flaconi GmbH;stepstone.de/stellenangebote--Data-Scientist-m-f-d-Berlin-Flaconi-GmbH--7753150-inline.html
job-item-7759916;Consultant SAP Test Data Management (m/w/d);SNP Schneider-Neureither & Partner SE;stepstone.de/stellenangebote--Consultant-SAP-Test-Data-Management-m-w-d-Berlin-Hamburg-Heidelberg-Magdeburg-Muenchen-Thale-im-Harz-Wien-Pasching-SNP-Schneider-Neureither-Partner-SE--7759916-inline.html
job-item-7763856;Python Entwickler (m/w/d) - Data Engineer Python;Ratbacher GmbH;stepstone.de/stellenangebote--Python-Entwickler-m-w-d-Data-Engineer-Python-Berlin-Koeln-Ratbacher-GmbH--7763856-inline.html
job-item-7701117;(Senior) Data Science Engineer (m/w/d);flaschenpost SE;stepstone.de/stellenangebote--Senior-Data-Science-Engineer-m-w-d-Muenster-Berlin-Koeln-flaschenpost-SE--7701117-inline.html
job-item-7699949;Data Engineer (m/f/d);LesLunes;stepstone.de/stellenangebote--Data-Engineer-m-f-d-Berlin-LesLunes--7699949-inline.html
job-item-5855671;SAP Big Data Architekt Public Sector (m/w/d);Sopra Steria;stepstone.de/stellenangebote--SAP-Big-Data-Architekt-Public-Sector-m-w-d-bundesweit-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--5855671-inline.html
job-item-7747358;Data Engineer (w/m/d);adesso SE;stepstone.de/stellenangebote--Data-Engineer-w-m-d-Dortmund-Frankfurt-Main-Berlin-Hamburg-Koeln-Muenchen-Stuttgart-adesso-SE--7747358-inline.html
job-item-7747132;Big Data Engineer;Ultra Tendency International GmbH;stepstone.de/stellenangebote--Big-Data-Engineer-Berlin-Ultra-Tendency-International-GmbH--7747132-inline.html
job-item-5855676;SAP Data Management Expert Public Sector (m/w/d);Sopra Steria;stepstone.de/stellenangebote--SAP-Data-Management-Expert-Public-Sector-m-w-d-Alle-Standorte-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--5855676-inline.html
